Sat.	GM (km3/sec2)	Mean radius (km)	Mean density (g/cm3)	Magnitude V0 or R	Geometric Albedo
Moon	4902.801±0.001	[1]	1737.5±0.1	[2]	3.344±0.005	-12.74	[3]	0.12	[3]
S/2003 J12	0.0000001	 	0.5	[25]	2.6	23.9R	[25]	0.04	[25]
S/2003 J15	0.000001	 	1.0	[25]	2.6	23.5R	[25]	0.04	[25]
S/2003 J16	0.000001	 	1.0	[25]	2.6	23.3R	[25]	0.04	[25]
S/2003 J18	0.000001	 	1.0	[25]	2.6	23.4R	[25]	0.04	[25]
S/2003 J19	0.000001	 	1.0	[25]	2.6	23.7R	[25]	0.04	[25]
S/2003 J23	0.000001	 	1.0	[25]	2.6	23.6R	[25]	0.04	[25]
S/2010 J1	0.000001	 	1.0	[60]	2.6	23.2r	[60]	0.04	[60]
S/2010 J2	0.000001	 	1.0	[60]	2.6	24.0r	[60]	0.04	[60]
S/2011 J1	0.000001	 	1.0	[61]	2.6	23.7R	[61]	0.04	[61]
S/2011 J2	0.000001	 	1.0	[61]	2.6	23.5R	[61]	0.04	[61]
Mimas	2.5026±0.0006	[27]	198.20±0.25	[28]	1.150±0.004	12.8	[29]	0.962±0.004	[59]
Enceladus	7.2027±0.0125	[27]	252.10±0.10	[28]	1.608±0.003	11.8	[29]	1.375±0.008	[59]
Tethys	41.2067±0.0038	[27]	533.00±0.70	[28]	0.973±0.004	10.2	[29]	1.229±0.005	[59]
Dione	73.1146±0.0015	[27]	561.70±0.45	[28]	1.476±0.004	10.4	[29]	0.998±0.004	[59]
Rhea	153.9426±0.0037	[27]	764.30±1.10	[28]	1.233±0.005	9.6	[29]	0.949±0.003	[59]
Titan	8978.1382±0.0020	[27]	2574.73±0.09	[55]	1.882±0.001	8.4	[29]	0.2	[29]
Hyperion	0.3727±0.0012	[27]	135.00±4.00	[54]	0.544±0.050	14.4	[29]	0.3	[29]
Iapetus	120.5038±0.0080	[27]	735.60±1.50	[28]	1.083±0.007	11	[29]	0.6	[29]
Phoebe	0.5532±0.0006	[27]	106.50±0.70	[54]	1.638±0.033	16.4	[34]	0.081±0.002	[30]
Janus	0.1263±0.0087	[54]	89.5±1.5	[54]	0.630±0.030	14.4	[29]	0.71±0.02	[59]
Epimetheus	0.0351±0.0047	[54]	58.1±1.8	[54]	0.640±0.062	15.6	[29]	0.73±0.03	[59]
Helene	0.00076	 	17.6±0.4	[54]	0.5	18.4	[29]	1.67±0.20	[59]
Telesto	0.00027	 	12.4±0.4	[54]	0.5	18.5	[29]	1.0	[29]
Calypso	0.00017	 	10.7±0.7	[54]	0.5	18.7	[29]	1.34±0.10	[59]
Atlas	0.00044±0.00015	[54]	15.1±1.2	[54]	0.460±0.110	19.0	[29]	0.4	[29]
Prometheus	0.01074±0.00285	[54]	43.1±2.7	[54]	0.480±0.090	15.8	[29]	0.6	[29]
Pandora	0.00924±0.00152	[54]	40.7±1.5	[54]	0.490±0.060	16.4	[29]	0.5	[29]
Pan	0.00033±0.00015	[54]	14.1±1.3	[54]	0.420±0.150	19.4	[32]	0.5	[32]
Methone	0.0000006	 	1.6±0.6	[54]	0.5	?	 	?	 
Pallene	0.0000022	 	2.5±0.6	[54]	0.5	?	 	?	 
Polydeuces	0.0000003	 	1.3±0.4	[54]	0.5	?	 	?	 
Daphnis	0.0000052±0.0000052	[54]	3.8±0.8	[54]	0.340±0.260	?	 	?	 
Anthe	0.0000001	 	0.9	[57]	0.5	?	 	?	 
Aegaeon	0.000000004	 	0.3	[56]	0.5	?	 	?	 
Ymir	0.00033	 	9	[33]	2.3	21.9R	[34]	0.06	[33]
Paaliaq	0.00055	 	11.0	[33]	2.3	21.1R	[34]	0.06	[33]
Tarvos	0.00018	 	7.5	[33]	2.3	22.7R	[34]	0.06	[33]
Ijiraq	0.000080	 	6	[33]	2.3	22.6R	[35]	0.06	[33]
Suttungr	0.000014	 	3.5	[33]	2.3	23.9R	[35]	0.06	[33]
Kiviuq	0.00022	 	8	[33]	2.3	22.1R	[34]	0.06	[33]
Mundilfari	0.000014	 	3.5	[33]	2.3	23.8R	[35]	0.06	[33]
Albiorix	0.0014	 	16	[33]	2.3	20.5R	[34]	0.06	[33]
Skathi	0.000021	 	4	[33]	2.3	23.6R	[35]	0.06	[33]
Erriapus	0.000051	 	5	[33]	2.3	23.4R	[34]	0.06	[33]
Siarnaq	0.0026	 	20	[33]	2.3	19.9R	[34]	0.06	[33]
Thrymr	0.000014	 	3.5	[33]	2.3	23.9R	[35]	0.06	[33]
Narvi	0.000023	 	3.5	[35]	2.3	23.8R	[35]	0.04	[35]
Aegir	0.000000	 	3.0	[35]	2.3	24.4R	[35]	0.04	[35]
Bebhionn	0.000000	 	3.0	[35]	2.3	24.1R	[35]	0.04	[35]
Bergelmir	0.000000	 	3.0	[35]	2.3	24.2R	[35]	0.04	[35]
Bestla	0.000000	 	3.5	[35]	2.3	23.8R	[35]	0.04	[35]
Farbauti	0.000000	 	2.5	[35]	2.3	24.7R	[35]	0.04	[35]
Fenrir	0.000000	 	2.0	[35]	2.3	25.0R	[35]	0.04	[35]
Fornjot	0.000000	 	3.0	[35]	2.3	24.6R	[35]	0.04	[35]
Hati	0.000000	 	3.0	[35]	2.3	24.4R	[35]	0.04	[35]
Hyrrokkin	0.000000	 	3.0	[35]	2.3	23.5R	[35]	0.04	[35]
Kari	0.000000	 	3.0	[35]	2.3	23.9R	[35]	0.04	[35]
Loge	0.000000	 	3.0	[35]	2.3	24.6R	[35]	0.04	[35]
Skoll	0.000000	 	3.0	[35]	2.3	24.5R	[35]	0.04	[35]
Surtur	0.000000	 	3.0	[35]	2.3	24.8R	[35]	0.04	[35]
Jarnsaxa	0.000000	 	3.0	[35]	2.3	24.7R	[35]	0.04	[35]
Greip	0.000000	 	3.0	[35]	2.3	24.4R	[35]	0.04	[35]
Tarqeq	0.000000	 	3.0	[35]	2.3	23.9R	[35]	0.04	[35]
S/2004 S7	0.000000	 	3.0	[35]	2.3	24.5R	[35]	0.04	[35]
S/2004 S12	0.000000	 	2.5	[35]	2.3	24.8R	[35]	0.04	[35]
S/2004 S13	0.000000	 	3.0	[35]	2.3	24.5R	[35]	0.04	[35]
S/2004 S17	0.000000	 	2.0	[35]	2.3	25.2R	[35]	0.04	[35]
S/2006 S1	0.000000	 	3.0	[35]	2.3	24.6R	[35]	0.04	[35]
S/2006 S3	0.000000	 	2.5	[35]	2.3	24.6R	[35]	0.04	[35]
S/2007 S2	0.000000	 	3.0	[35]	2.3	24.4R	[35]	0.04	[35]
S/2007 S3	0.000000	 	2.0	[35]	2.3	24.9R	[35]	0.04	[35]
Ariel	86.4±5.0	[36]	578.9±0.6	[37]	1.592±0.092	13.70±0.04	[38]	0.39±0.04	[39]
Umbriel	81.5±5.0	[36]	584.7±2.8	[37]	1.459±0.092	14.47±0.04	[38]	0.21±0.02	[39]
Titania	228.2±5.0	[36]	788.9±1.8	[37]	1.662±0.038	13.49±0.04	[38]	0.27±0.03	[39]
Oberon	192.4±7.0	[36]	761.4±2.6	[37]	1.559±0.059	13.70±0.04	[38]	0.23±0.03	[39]
Miranda	4.4±0.4	[36]	235.8±0.7	[37]	1.214±0.109	15.79±0.04	[38]	0.32±0.03	[39]
Cordelia	0.0030	 	20.1±3.	[40]	1.3	23.62±0.35	[38]	0.07	[38]
Ophelia	0.0036	 	21.4±4.	[40]	1.3	23.26±0.25	[38]	0.07	[38]
Bianca	0.0062	 	27±2	[67]	1.3	22.52±0.24	[38]	0.065±0.010	[67]
Cressida	0.0229	 	41±2	[67]	1.3	21.58±0.11	[38]	0.069±0.007	[67]
Desdemona	0.0119	 	35±4	[67]	1.3	21.99±0.16	[38]	0.084±0.019	[67]
Juliet	0.0372	 	53±4	[67]	1.3	21.12±0.05	[38]	0.075±0.011	[67]
Portia	0.1122	 	70±4	[67]	1.3	20.42±0.05	[38]	0.069±0.008	[67]
Rosalind	0.0170	 	36±6	[67]	1.3	21.79±0.13	[38]	0.072±0.024	[67]
Belinda	0.0238	 	45±8	[67]	1.3	21.47±0.09	[38]	0.067±0.024	[67]
Puck	0.1931	 	81±2	[67]	1.3	19.75±0.05	[38]	0.104±0.006	[67]
Caliban	0.020	 	36	[42]	1.5	22.4R	[42]	0.04	[42]
Sycorax	0.18	 	75	[42]	1.5	20.8R	[42]	0.04	[42]
Prospero	0.0066	 	25	[42]	1.5	23.2R	[42]	0.04	[42]
Setebos	0.0058	 	24	[42]	1.5	23.3R	[42]	0.04	[42]
Stephano	0.0017	 	16	[42]	1.5	24.1R	[42]	0.04	[42]
Trinculo	0.00031	 	9	[42]	1.5	25.4R	[42]	0.04	[42]
Francisco	0.00056	 	11	[42]	1.5	25.0R	[42]	0.04	[42]
Margaret	0.00042	 	10	[42]	1.5	25.2R	[42]	0.04	[42]
Ferdinand	0.00042	 	10	[42]	1.5	25.1R	[42]	0.04	[42]
Perdita	0.0012	 	13±1	[67]	1.3	23.6V	[40]	0.070±0.006	[67]
Mab	0.0006	 	12±1	[67]	1.3	24.6V	[67]	0.103±0.006	[67]
Cupid	0.0002	 	9±1	[67]	1.3	25.8V	[67]	0.070±0.006	[67]
Triton	1427.6±1.9	[43]	1353.4±0.9	[44]	2.059±0.005	13.54	[46]	0.719	[46]
Nereid	2.06	 	170.±25.	[47]	1.5	19.2R	[48]	0.155	[47]
Naiad	0.013	 	33.±3.	[48]	1.3	23.91	[48]	0.072	[48]
Thalassa	0.025	 	41.±3.	[48]	1.3	23.32	[48]	0.091	[48]
Despina	0.14	 	75.±3.	[48]	1.3	22.00	[48]	0.090	[48]
Galatea	0.25	 	88.±4.	[48]	1.3	21.85	[48]	0.079	[48]
Larissa	0.33	 	97.±3.	[48]	1.3	21.49	[48]	0.091	[48]
Proteus	3.36	 	210.±7.	[48]	1.3	19.75	[48]	0.096	[48]
Halimede	0.012	 	31.0	[49]	1.5	24.5R	[49]	0.04	[49]
Psamathe	0.0033	 	20.0	[49]	1.5	25.5R	[49]	0.04	[49]
Sao	0.0045	 	22.0	[49]	1.5	25.5R	[49]	0.04	[49]
Laomedeia	0.0039	 	21.0	[49]	1.5	25.5R	[49]	0.04	[49]
Neso	0.011	 	30.0	[49]	1.5	24.6R	[49]	0.04	[49]
S/2004 N1	0.0003	 	9.0	[62]	1.3	26.5V	[62]	0.10	[62]
Charon	102.3±0.2	[66]	603.6±1.4	[51]	1.664±0.012	17.26±0.01	[52]	0.372±0.012	[52]
Nix	0.0013±0.0023	[66]	23.0±2.	[63]	2.1	23.4V±0.2	[63]	0.35	[63]
Hydra	0.0065±0.0022	[66]	30.5±4.	[63]	0.8	22.9V±0.1	[63]	0.35	[63]
Kerberos	0.0011±0.0005	[66]	14.0	[64]	1.4	26.1V±0.3	[64]	0.35	[64]
Styx	0.0000±0.0008	[66]	10.0	[65]	?	27.0V±0.3	[65]	0.35	[65]
